[ 2025-08-01 13:24:45,465 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-01 13:24:46,976 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-01 13:24:46,976 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-01 13:24:46,976 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-01 13:24:47,044 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-01 13:24:47,045 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-01 13:24:47,115 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-01 13:24:47,134 ] 32 root - INFO - Required number of columns:2
[ 2025-08-01 13:24:47,134 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-01 13:24:47,134 ] 32 root - INFO - Required number of columns:2
[ 2025-08-01 13:24:47,134 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-01 13:24:47,313 ] 28 root - INFO - data Validation Completed
[ 2025-08-01 13:24:47,313 ] 31 root - INFO - data Transformation started
[ 2025-08-01 13:24:47,313 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-01 13:24:47,313 ] 65 root - INFO - Starting data transformation
[ 2025-08-01 13:24:47,353 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-01 13:24:47,354 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-01 13:24:47,363 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-01 13:24:47,367 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-01 13:24:47,368 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-01 13:24:47,378 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-01 13:24:47,379 ] 35 root - INFO - data Transformation completed
[ 2025-08-01 13:24:47,379 ] 37 root - INFO - Model Training sstared
[ 2025-08-01 13:28:20,809 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-01 13:28:20,809 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-01 13:28:20,809 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-01 13:28:20,836 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-01 13:28:20,837 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/08_01_2025_13_24_44/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913463473535923, precision_score=0.9887595343235648, recall_score=0.9939467312348669), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9744013212221305, precision_score=0.9664209664209664, recall_score=0.9825145711906744))
[ 2025-08-01 13:28:20,837 ] 42 root - INFO - Model Training artifact created
